Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration,
0,31931873857426,31931873857426,9223372036854775807,0,31931874620225,31931874677350,31931874686142,31931874829183,31931875604350,31931876157600,31631693141249,31631695841499,31631697016457,388000,568000,
0,31931890523916,31931890523916,9223372036854775807,0,31931891256517,31931891314725,31931891323475,31931891465642,31931892670725,31931892877308,31631709841124,31631712690124,31631713771124,399000,581000,
0,31931907190071,31931907190071,9223372036854775807,0,31931907930225,31931907986058,31931907995225,31931908299475,31931909090225,31931909288225,31631725751040,31631728794624,31631730234457,513000,850000,
0,31931923854921,31931923854921,9223372036854775807,0,31931924763267,31931924819642,31931924828058,31931924971392,31931925739600,31931925937558,31631742369540,31631745400374,31631746635749,407000,713000,
0,31931940533351,31931940533351,9223372036854775807,0,31931941199308,31931941258642,31931941267142,31931941411350,31931942520642,31931942745725,31631759794749,31631762648290,31631763762707,526000,621000,
0,31931957199935,31931957199935,9223372036854775807,0,31931957917892,31931957975892,31931957984600,31931958130517,31931959036267,31931959234808,31631776498665,31631779361665,31631781018207,431000,1127000,
0,31931973866599,31931973866599,9223372036854775807,0,31931974649017,31931974706475,31931974715558,31931974863017,31931975626933,31931975835017,31631792200582,31631794960624,31631796163665,412000,711000,
0,31931990533350,31931990533350,9223372036854775807,0,31931991207350,31931991263433,31931991272225,31931991412892,31931992351017,31931992750142,31631808849707,31631811559290,31631812789290,328000,749000,
0,31932007200155,31932007200155,9223372036854775807,0,31932007910600,31932007967100,31932007975558,31932008302017,31932009108142,31932009314725,31631825720790,31631828544040,31631829583540,363000,540000,
0,31932023865818,31932023865818,9223372036854775807,0,31932024648308,31932024696058,31932024702808,31932024827517,31932025510600,31932025685308,31631842052332,31631845093540,31631846212124,518000,603000,
0,31932040532644,31932040532644,9223372036854775807,0,31932041148892,31932041197933,31932041204558,31932041332058,31932041923642,31932042116725,31631859513915,31631862545540,31631863896957,338000,823000,
0,31932057199209,31932057199209,9223372036854775807,0,31932057823433,31932057871683,31932057878225,31932058002017,31932058701475,31932058959392,31631875412165,31631878247624,31631879310665,399000,564000,
0,31932073866018,31932073866018,9223372036854775807,0,31932074545475,31932074591725,31932074598100,31932074723433,31932075333100,31932075507058,31631892768124,31631895426332,31631896656749,355000,714000,
0,31932090533124,31932090533124,9223372036854775807,0,31932091140850,31932091187933,31932091194558,31932091321225,31932091935475,31932092399058,31631909121582,31631911942540,31631913103499,454000,499000,
